Day,family: (Worldwide),covid: (Worldwide),police: (Worldwide),nhl: (Worldwide),car: (Worldwide),mask: (Worldwide),trudeau: (Worldwide),langley: (Worldwide),flight: (Worldwide),music: (Worldwide),cent: (Worldwide),business: (Worldwide),arts: (Worldwide),restaurants: (Worldwide),north shores: (Worldwide),funeral home: (Worldwide),engineers: (Worldwide),burnaby: (Worldwide),programming: (Worldwide),parking: (Worldwide),trump: (Worldwide),bowen: (Worldwide),patients: (Worldwide),energy: (Worldwide),films: (Worldwide)
2020-06-25,20,89,13,1,43,71,4,7,86,84,4,79,15,81,<1,22,4,1,4,16,70,1,8,81,42
2020-06-26,20,90,12,1,44,72,4,7,86,87,4,70,14,95,<1,20,3,1,4,17,73,1,8,80,39
2020-06-27,21,84,12,3,48,72,3,8,90,91,4,56,14,91,<1,20,3,1,4,17,97,1,8,83,42
2020-06-28,21,83,12,1,47,67,3,8,93,91,4,55,15,69,<1,23,4,1,5,17,91,1,9,85,39
2020-06-29,21,92,12,1,45,66,3,7,91,84,4,77,15,65,<1,23,4,1,5,17,74,1,9,85,36
2020-06-30,20,93,12,1,42,68,4,7,90,79,4,77,16,69,<1,22,4,1,4,17,66,1,9,87,34
2020-07-01,20,90,12,1,43,70,4,8,91,82,4,75,16,73,<1,22,4,1,4,18,69,1,10,94,34
2020-07-02,20,90,11,1,45,77,4,8,92,82,4,79,14,83,<1,21,3,1,4,18,66,1,10,97,34
2020-07-03,20,86,11,1,45,73,5,8,92,88,5,67,14,89,<1,18,3,1,4,18,100,1,10,98,34
2020-07-04,20,76,12,1,45,66,6,8,92,95,5,52,15,88,<1,20,3,1,4,17,84,1,10,98,36
2020-07-05,20,77,11,1,46,58,4,8,95,94,4,54,16,72,<1,24,4,1,5,17,70,1,10,95,37
2020-07-06,20,92,11,1,44,65,5,8,92,82,5,74,17,74,<1,25,4,1,4,17,75,1,11,95,37
2020-07-07,20,94,11,1,43,69,5,7,86,85,6,79,18,73,<1,25,4,1,5,17,80,1,10,96,38
2020-07-08,20,92,11,1,43,76,5,8,85,82,5,79,17,73,<1,24,4,1,5,17,82,1,10,93,39
2020-07-09,20,89,11,1,43,74,6,8,88,86,5,80,17,81,<1,24,4,1,4,18,69,1,10,98,37
2020-07-10,19,87,11,1,42,82,8,8,90,89,5,73,15,96,<1,22,3,1,4,19,69,1,10,96,37
2020-07-11,20,82,10,1,46,83,6,8,94,94,6,57,14,92,<1,21,3,1,4,19,71,1,11,99,36
2020-07-12,21,88,11,1,45,78,5,9,93,90,6,55,19,71,<1,24,4,1,5,18,60,1,9,81,36
2020-07-13,21,100,11,1,43,82,6,9,97,81,5,79,19,69,<1,23,4,1,5,18,66,1,10,97,35
2020-07-14,20,100,11,1,42,100,6,7,100,83,5,78,21,69,<1,23,4,1,5,18,72,1,9,92,35
2020-07-15,19,97,11,1,42,93,5,7,92,81,4,79,24,73,<1,22,4,1,5,19,71,1,9,84,38
2020-07-16,19,96,11,1,43,96,4,7,94,81,5,75,32,81,<1,22,4,1,5,19,70,1,7,60,49
2020-07-17,20,96,11,1,44,91,4,7,91,90,4,69,31,100,<1,21,3,1,4,19,72,1,8,72,46
2020-07-18,20,83,11,1,47,86,4,9,91,92,5,55,20,93,<1,20,3,1,4,19,71,1,9,93,38
2020-07-19,20,86,10,1,47,97,4,7,96,88,4,54,27,70,<1,23,4,1,5,19,68,1,10,93,36
2020-07-20,20,95,10,1,43,87,4,7,89,79,4,75,50,71,<1,22,4,1,5,19,66,1,10,94,36
2020-07-21,20,92,11,1,43,84,4,7,91,80,4,75,23,72,<1,24,4,1,5,19,64,1,11,93,35
2020-07-22,19,91,11,1,43,91,4,7,95,82,4,75,20,76,<1,23,4,1,5,19,61,1,12,94,35
2020-07-23,,,,,,92,4,7,87,86,5,79,,,,,,,,,,,12,97,37
,,,,,,,,,,,,,,,,,,,,,,,12,95,37
,,,,,,,,,,,,,,,,,,,,,,,12,99,34
,,,,,,,,,,,,,,,,,,,,,,,14,100,32
,,,,,,,,,,,,,,,,,,,,,,,16,91,32
,,,,,,,,,,,,,,,,,,,,,,,23,77,37
,,,,,,,,,,,,,,,,,,,,,,,29,77,45
,,,,,,,,,,,,,,,,,,,,,,,25,82,46
,,,,,,,,,,,,,,,,,,,,,,,23,80,43
,,,,,,,,,,,,,,,,,,,,,,,20,87,46
,,,,,,,,,,,,,,,,,,,,,,,19,92,44
,,,,,,,,,,,,,,,,,,,,,,,18,92,44
,,,,,,,,,,,,,,,,,,,,,,,17,89,40
,,,,,,,,,,,,,,,,,,,,,,,16,87,39
,,,,,,,,,,,,,,,,,,,,,,,15,87,37
,,,,,,,,,,,,,,,,,,,,,,,15,79,35
,,,,,,,,,,,,,,,,,,,,,,,14,84,36
,,,,,,,,,,,,,,,,,,,,,,,15,87,36
,,,,,,,,,,,,,,,,,,,,,,,14,80,35
,,,,,,,,,,,,,,,,,,,,,,,14,81,33
,,,,,,,,,,,,,,,,,,,,,,,14,80,34
,,,,,,,,,,,,,,,,,,,,,,,14,85,33
,,,,,,,,,,,,,,,,,,,,,,,15,80,32
,,,,,,,,,,,,,,,,,,,,,,,14,86,30